mask_id,7/1/2007,8/1/2007,9/1/2007,10/1/2007,11/1/2007,12/1/2007,1/1/2008,2/1/2008,3/1/2008,4/1/2008,5/1/2008,6/1/2008,7/1/2008,8/1/2008,9/1/2008,10/1/2008,11/1/2008,12/1/2008,1/1/2009,2/1/2009,3/1/2009,4/1/2009,5/1/2009,6/1/2009,7/1/2009,8/1/2009,9/1/2009,10/1/2009,11/1/2009,12/1/2009,1/1/2010,2/1/2010,3/1/2010,4/1/2010,5/1/2010,6/1/2010,7/1/2010,8/1/2010,9/1/2010,10/1/2010,11/1/2010,12/1/2010,1/1/2011,2/1/2011,3/1/2011,4/1/2011,5/1/2011,6/1/2011,7/1/2011,8/1/2011,9/1/2011,10/1/2011,11/1/2011,12/1/2011,1/1/2012,2/1/2012,3/1/2012,4/1/2012,5/1/2012,6/1/2012,7/1/2012,8/1/2012,9/1/2012,10/1/2012,11/1/2012,12/1/2012,1/1/2013,2/1/2013,3/1/2013,4/1/2013,5/1/2013,6/1/2013,7/1/2013,8/1/2013,9/1/2013,10/1/2013,11/1/2013,12/1/2013,1/1/2014,2/1/2014,3/1/2014,4/1/2014,5/1/2014,6/1/2014,7/1/2014,8/1/2014,9/1/2014,10/1/2014,11/1/2014,12/1/2014,1/1/2015,2/1/2015,3/1/2015,4/1/2015,5/1/2015,6/1/2015,total,score_annual_inc,score_delinq_2yrs,score_emp_length,score_home_ownership,score_inq_last_6mths,score_int_rate,score_pub_rec,score_purpose,score_term
1.0DEQ#<10#36M#1OR2ENQ#>2 years#O#1.0PUB#OWN#<50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.00,2927.93,2855.27,2782.03,2708.18,2633.74,2558.69,2483.03,2406.76,2329.86,2252.34,2174.19,2095.40,2015.98,1935.90,1855.18,1773.80,1691.75,1609.04,1525.66,1441.60,1356.86,1271.42,1185.29,1098.46,1010.93,922.68,833.71,744.02,653.61,562.45,470.56,4000.00,400.00,287.27,160.61,32.90,62047.11,<50k,1.0DEQ,>2 years,OWN,1OR2ENQ,<10,1.0PUB,O,36M
0.0DEQ#12.5<x<14.5#60M#2+ENQ#>2 years#H#0.0PUB#OWN#<50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000.00,4941.37,4882.07,4822.10,4761.45,4700.12,4638.08,4575.35,4511.90,4447.73,18507.84,18272.38,18034.38,17793.82,17550.66,17304.89,29056.46,28661.11,28261.53,28042.39,27820.89,27596.98,14655.58,14426.80,14195.54,13961.78,13725.49,13486.64,13245.21,13001.15,12754.46,12505.10,12253.03,11998.24,11740.69,11480.35,11217.19,10951.18,10682.29,10410.49,10135.74,9858.02,9577.29,9293.52,1678.50,1582.20,1484.80,1386.30,1286.69,1185.94,1084.05,981.00,876.79,771.39,664.80,557.00,447.98,337.72,226.21,113.44,604404.11,<50k,0.0DEQ,>2 years,OWN,2+ENQ,12.5<x<14.5,0.0PUB,H,60M
1.0DEQ#12.5<x<14.5#60M#2+ENQ#<2 years#H#0.0PUB#RENT#<50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3200.00,3162.85,3125.27,3087.25,3048.78,3009.87,2970.51,2930.68,2890.40,2849.64,2808.41,2766.69,2724.50,2681.81,2638.62,2594.93,2550.73,2506.02,2460.78,2415.02,2368.72,2321.89,2274.51,2226.58,2178.09,2129.03,2079.41,2029.20,1978.41,1927.03,1875.05,1822.46,1769.27,1715.45,1661.00,1605.92,1550.20,1493.83,1436.81,1379.11,1320.75,1261.71,1201.98,1141.55,1080.42,1018.58,956.01,892.72,828.69,763.91,698.38,632.09,565.02,497.18,428.54,359.10,288.85,217.79,145.90,108543.90,<50k,1.0DEQ,<2 years,RENT,2+ENQ,12.5<x<14.5,0.0PUB,H,60M
0.0DEQ#10<x<12.5#60M#2+ENQ#<2 years#D#0.0PUB#RENT#<50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6200.00,6122.81,6044.89,25716.23,25394.08,25068.78,24690.30,24358.17,24022.79,23634.13,23291.73,22945.97,22546.84,22143.86,21786.99,21426.63,21062.75,20695.32,20324.29,4385.14,4290.93,4145.83,4049.39,3952.04,3853.77,3754.57,3654.43,3553.35,3451.31,3348.30,3244.31,3139.35,3033.39,2926.42,2818.45,2709.45,1981.14,1907.59,1833.31,1758.30,1682.55,1606.05,1528.79,1450.77,1371.98,1292.41,1212.05,1130.90,1048.95,966.18,882.60,798.19,712.95,626.87,539.94,452.14,363.48,273.94,183.52,473391.54,<50k,0.0DEQ,<2 years,RENT,2+ENQ,10<x<12.5,0.0PUB,D,60M
1.0DEQ#12.5<x<14.5#60M#2+ENQ#>2 years#O#0.0PUB#OWN#<50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7800.00,7709.45,7617.85,7525.17,9031.42,8918.24,8803.73,8687.88,8570.67,8452.09,8332.12,8210.74,8087.94,7963.70,7838.01,7710.85,7582.19,7452.03,1322.13,1300.44,1278.49,1256.27,1233.79,1211.04,1188.01,1164.71,1141.12,1117.25,1093.10,1068.65,1043.91,1018.86,993.52,967.87,941.92,915.65,889.06,862.15,834.92,807.36,779.47,751.25,722.68,693.77,664.51,634.89,604.92,574.59,543.90,512.83,481.39,449.57,417.37,384.78,351.79,318.41,284.63,250.44,179365.49,<50k,1.0DEQ,>2 years,OWN,2+ENQ,12.5<x<14.5,0.0PUB,O,60M
0.0DEQ#12.5<x<14.5#60M#1OR2ENQ#<2 years#O#1.0PUB#RENT#<50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4800.00,4743.72,4686.80,13029.24,12872.53,16813.65,16708.28,18001.68,17938.40,17874.36,17809.56,17744.00,13285.27,13218.13,13150.19,4779.93,4710.36,4639.97,4568.73,4496.65,4423.71,4349.90,4275.21,1114.75,1095.13,1075.29,1055.21,1034.91,1014.37,993.60,972.58,951.33,929.83,908.08,886.08,863.83,841.33,818.56,795.54,772.24,748.68,724.85,700.75,676.37,651.71,626.76,601.53,576.01,550.19,524.08,497.67,470.95,443.92,416.59,388.94,360.97,332.68,304.07,275.13,264914.78,<50k,0.0DEQ,<2 years,RENT,1OR2ENQ,12.5<x<14.5,1.0PUB,O,60M
0.0DEQ#14.5<x<16.5#60M#1OR2ENQ#<2 years#H#1.0PUB#RENT#<50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000.00,5934.00,5867.12,5799.36,5730.69,5661.11,5590.61,5519.16,5446.77,5373.42,5299.09,5223.78,5147.46,5070.13,4991.77,4912.37,4831.91,4750.38,4667.77,4584.07,4499.25,4413.30,4326.21,4237.96,4148.54,4057.93,3966.12,3873.08,3778.81,3683.29,3586.50,3488.42,3389.04,3288.33,3186.29,3082.89,2978.12,2871.95,2764.37,2655.37,2544.91,2432.99,2319.58,2204.66,2088.21,1970.22,1850.65,1729.50,1606.74,1482.35,1356.30,1228.58,1099.16,968.02,835.13,700.48,564.04,425.79,285.70,206369.73,<50k,0.0DEQ,<2 years,RENT,1OR2ENQ,14.5<x<16.5,1.0PUB,H,60M
0.0DEQ#10<x<12.5#60M#0ENQ#<2 years#O#1.0PUB#RENT#<50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600.00,10679.73,10542.91,10404.90,10265.69,10125.27,9983.63,9840.76,9696.65,9551.28,9404.66,9256.76,9107.57,8957.09,8805.30,8652.20,8497.76,8341.98,8184.85,8026.35,7866.48,7705.21,7542.55,7378.47,7212.97,7046.03,6877.64,6707.78,6536.45,6363.63,6189.31,6013.48,5836.12,5657.21,5476.75,5294.73,5111.12,4925.92,4739.11,4550.67,4360.60,4168.88,3975.49,3780.42,3583.66,3385.19,3184.99,2983.05,1279.36,555.01,333.29,297.15,336844.08,<50k,0.0DEQ,<2 years,RENT,0ENQ,10<x<12.5,1.0PUB,O,60M
0.0DEQ#10<x<12.5#60M#1OR2ENQ#>2 years#O#1.0PUB#OWN#<50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1675.00,1653.99,1632.78,1611.38,1589.78,1567.98,1545.97,1523.77,1501.35,1478.73,1455.90,1432.86,1409.61,1386.14,1362.45,1338.55,1314.42,1290.07,6265.49,6179.66,6092.98,6005.44,5917.05,5827.78,5737.63,5646.59,5554.66,5461.82,5368.06,5273.38,5177.77,5081.21,4983.71,4885.24,839.85,811.11,782.09,752.82,723.27,693.44,663.34,632.96,602.30,571.36,540.13,508.61,476.80,444.69,412.29,379.59,346.58,126410.44,<50k,0.0DEQ,>2 years,OWN,1OR2ENQ,10<x<12.5,1.0PUB,O,60M
0.0DEQ#14.5<x<16.5#60M#2+ENQ#>2 years#O#1.0PUB#RENT#<50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000.00,4945.75,4890.76,4835.01,4778.50,4721.22,4663.15,4604.28,4544.61,4484.12,4422.80,4360.64,4297.63,4233.75,4169.00,4103.36,4036.82,3969.36,3900.99,3831.67,3761.41,3690.18,3617.98,3544.79,3470.59,3395.37,3319.13,3241.84,3163.49,3084.07,3003.55,2921.94,2839.20,2755.33,2670.31,2584.13,2496.76,2408.20,2318.42,2227.41,2135.16,2041.64,1946.83,1850.73,1753.31,1654.56,1554.45,1452.97,1350.10,1245.81,1140.10,1032.94,924.31,814.19,702.56,589.40,474.69,358.41,172329.68,<50k,0.0DEQ,>2 years,RENT,2+ENQ,14.5<x<16.5,1.0PUB,O,60M
